constraint_type,expression,id,id_type,scope_path,targets,title,is_active,references,value,xml_example_content,targetRefs,confidence,review_issues
value_restriction,The default value for the category of a SwSystemconst shall be VALUE. This has to be applied if no explicit definition of the category can be found.,TPS_SWCT_01239,TPS_SWCT,"['5 Data Description', '5.2 Data Types']","[{'entityType': 'class', 'targetAttributes': ['category'], 'targetEntityName': 'SwSystemconst'}]",default value for attribute category used in the context of SwSystemconst,True,[],VALUE,,['SwSystemconst.category'],0.9,"[""属性 'category' 在元数据类 'SwSystemconst' 的已知属性列表中未找到。 (LLM 违规)""]"
behavioral,If the value of the invalidValue of an ApplicationPrimitiveDataType of category VALUE is supposed to be inside the scope of the applicable CompuMethod an ApplicationValueSpecification is used to describe the invalidValue of the ApplicationPrimitiveDataType.,constr_1281,constr,"['5 Data Description', '5.2 Data Types', '5.2.4 Application Data Type', '5.2.4.1 Application Primitive Data Types', '5.2.4.1.1 Data Types for Single Values']","[{'entityType': 'class', 'targetAttributes': ['invalidValue', 'category', 'swDataDefProps'], 'targetEntityName': 'ApplicationPrimitiveDataType'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ApplicationValueSpecification'}]",invalidValue is inside the scope of the compuMethod,True,[],,,"['ApplicationPrimitiveDataType.category', 'ApplicationPrimitiveDataType.invalidValue', 'ApplicationPrimitiveDataType.swDataDefProps', 'ApplicationValueSpecification._classLevel']",0.9,"[""属性 'invalidValue' 在元数据类 'ApplicationPrimitiveDataType' 的已知属性列表中未找到。 (LLM 违规)""]"
behavioral,If the value of the invalidValue of an ApplicationPrimitiveDataType of category VALUE is supposed to be outside the scope of the applicable CompuMethod a NumericalValueSpecification shall be used to describe the invalidValue of the ApplicationPrimitiveDataType.,constr_1283,constr,"['5 Data Description', '5.2 Data Types', '5.2.4 Application Data Type', '5.2.4.1 Application Primitive Data Types', '5.2.4.1.1 Data Types for Single Values']","[{'entityType': 'class', 'targetAttributes': ['invalidValue', 'category', 'swDataDefProps'], 'targetEntityName': 'ApplicationPrimitiveDataType'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'NumericalValueSpecification'}]",invalidValue is outside the scope of the compuMethod,True,[],,,"['ApplicationPrimitiveDataType.category', 'ApplicationPrimitiveDataType.invalidValue', 'ApplicationPrimitiveDataType.swDataDefProps', 'NumericalValueSpecification._classLevel']",0.9,"[""属性 'invalidValue' 在元数据类 'ApplicationPrimitiveDataType' 的已知属性列表中未找到。 (LLM 违规)""]"
relationship,To indicate that an ApplicationPrimitiveDataType shall be interpreted as a string of a particular encoding it shall reference swDataDefProps.swTextProps.baseType and the only attribute of the referenced SwBaseType relevant for this purpose is the BaseTypeDirectDefinition.baseTypeEncoding.,TPS_SWCT_01488,TPS_SWCT,"['5 Data Description', '5.2 Data Types', '5.2.4 Application Data Type', '5.2.4.1 Application Primitive Data Types', '5.2.4.1.4 Data Types for Textual Strings']","[{'entityType': 'class', 'targetAttributes': ['swDataDefProps'], 'targetEntityName': 'ApplicationPrimitiveDataType'}, {'entityType': 'class', 'targetAttributes': ['baseType'], 'targetEntityName': 'SwTextProps'}, {'entityType': 'class', 'targetAttributes': ['baseTypeEncoding'], 'targetEntityName': 'SwBaseType'}]",ApplicationPrimitiveDataType shall be interpreted as a string of a particular encoding,True,[],,,"['ApplicationPrimitiveDataType.swDataDefProps', 'SwBaseType.baseTypeEncoding', 'SwTextProps.baseType']",0.9,"[""属性 'baseTypeEncoding' 在元数据类 'SwBaseType' 的已知属性列表中未找到。 (LLM 违规)""]"
behavioral,"The table specifies which attributes are allowed and their multiplicities for ImplementationDataType, ImplementationDataTypeElement, SwPointerTargetProps, and SwServiceArg, based on the category of the ImplementationDataType. note1:There is a use case for the definition of an invalidValue for category ARRAY and therefore category STRUCTURE is also supported for the sake of symmetry. note2:This represents an exception such that it would make sense to use an entire ArrayValueSpecification as the invalidValue because a string semantically is more than just a bunch of characters in a row.",Table_5_18,additional_binding,"['5 Data Description', '5.2 Data Types', '5.2.5 Implementation Data Type', 'Table 5.18 Allowed Attributes vs. category for ImplementationDataType']","[{'entityType': 'class', 'targetAttributes': ['category', 'additionalNativeTypeQualifier', 'annotation', 'baseType', 'compuMethod', 'dataConstr', 'displayFormat', 'implementationDataType', 'invalidValue', 'stepSize', 'swAddrMethod', 'swAlignment', 'swCalibrationAccess', 'swImplPolicy', 'swPointerTargetProps', 'swRefreshTiming', 'subElement'], 'targetEntityName': 'ImplementationDataType'}, {'entityType': 'class', 'targetAttributes': ['additionalNativeTypeQualifier', 'annotation', 'baseType', 'compuMethod', 'dataConstr', 'displayFormat', 'implementationDataType', 'invalidValue', 'stepSize', 'swAddrMethod', 'swCalibrationAccess', 'swImplPolicy', 'swPointerTargetProps', 'swRefreshTiming', 'subElement', 'arraySizeSemantics', 'arraySize'], 'targetEntityName': 'ImplementationDataTypeElement'}, {'entityType': 'class', 'targetAttributes': ['additionalNativeTypeQualifier', 'annotation', 'baseType', 'compuMethod', 'dataConstr', 'implementationDataType', 'swAddrMethod', 'swImplPolicy', 'swPointerTargetProps', 'swDataDefProps', 'functionPointerSignature', 'swRefreshTiming'], 'targetEntityName': 'SwPointerTargetProps'}, {'entityType': 'class', 'targetAttributes': ['additionalNativeTypeQualifier', 'annotation', 'baseType', 'compuMethod', 'dataConstr', 'implementationDataType', 'swAddrMethod', 'swImplPolicy'], 'targetEntityName': 'SwServiceArg'}]",Allowed Attributes vs. category for ImplementationDataType,True,[],,,"['ImplementationDataType.additionalNativeTypeQualifier', 'ImplementationDataType.annotation', 'ImplementationDataType.baseType', 'ImplementationDataType.category', 'ImplementationDataType.compuMethod', 'ImplementationDataType.dataConstr', 'ImplementationDataType.displayFormat', 'ImplementationDataType.implementationDataType', 'ImplementationDataType.invalidValue', 'ImplementationDataType.stepSize', 'ImplementationDataType.subElement', 'ImplementationDataType.swAddrMethod', 'ImplementationDataType.swAlignment', 'ImplementationDataType.swCalibrationAccess', 'ImplementationDataType.swImplPolicy', 'ImplementationDataType.swPointerTargetProps', 'ImplementationDataType.swRefreshTiming', 'ImplementationDataTypeElement.additionalNativeTypeQualifier', 'ImplementationDataTypeElement.annotation', 'ImplementationDataTypeElement.arraySize', 'ImplementationDataTypeElement.arraySizeSemantics', 'ImplementationDataTypeElement.baseType', 'ImplementationDataTypeElement.compuMethod', 'ImplementationDataTypeElement.dataConstr', 'ImplementationDataTypeElement.displayFormat', 'ImplementationDataTypeElement.implementationDataType', 'ImplementationDataTypeElement.invalidValue', 'ImplementationDataTypeElement.stepSize', 'ImplementationDataTypeElement.subElement', 'ImplementationDataTypeElement.swAddrMethod', 'ImplementationDataTypeElement.swCalibrationAccess', 'ImplementationDataTypeElement.swImplPolicy', 'ImplementationDataTypeElement.swPointerTargetProps', 'ImplementationDataTypeElement.swRefreshTiming', 'SwPointerTargetProps.additionalNativeTypeQualifier', 'SwPointerTargetProps.annotation', 'SwPointerTargetProps.baseType', 'SwPointerTargetProps.compuMethod', 'SwPointerTargetProps.dataConstr', 'SwPointerTargetProps.functionPointerSignature', 'SwPointerTargetProps.implementationDataType', 'SwPointerTargetProps.swAddrMethod', 'SwPointerTargetProps.swDataDefProps', 'SwPointerTargetProps.swImplPolicy', 'SwPointerTargetProps.swPointerTargetProps', 'SwPointerTargetProps.swRefreshTiming', 'SwServiceArg.additionalNativeTypeQualifier', 'SwServiceArg.annotation', 'SwServiceArg.baseType', 'SwServiceArg.compuMethod', 'SwServiceArg.dataConstr', 'SwServiceArg.implementationDataType', 'SwServiceArg.swAddrMethod', 'SwServiceArg.swImplPolicy']",0.9,"[""属性 'additionalNativeTypeQualifier' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'baseType' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'compuMethod' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'dataConstr' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'displayFormat' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'implementationDataType' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'invalidValue' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'stepSize' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'swAddrMethod' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'swAlignment' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'swCalibrationAccess' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'swImplPolicy' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'swPointerTargetProps' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'swRefreshTiming' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'additionalNativeTypeQualifier' 在元数据类 'ImplementationDataTypeElement' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'baseType' 在元数据类 'ImplementationDataTypeElement' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'compuMethod' 在元数据类 'ImplementationDataTypeElement' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'dataConstr' 在元数据类 'ImplementationDataTypeElement' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'displayFormat' 在元数据类 'ImplementationDataTypeElement' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'implementationDataType' 在元数据类 'ImplementationDataTypeElement' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'invalidValue' 在元数据类 'ImplementationDataTypeElement' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'stepSize' 在元数据类 'ImplementationDataTypeElement' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'swAddrMethod' 在元数据类 'ImplementationDataTypeElement' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'swCalibrationAccess' 在元数据类 'ImplementationDataTypeElement' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'swImplPolicy' 在元数据类 'ImplementationDataTypeElement' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'swPointerTargetProps' 在元数据类 'ImplementationDataTypeElement' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'swRefreshTiming' 在元数据类 'ImplementationDataTypeElement' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'additionalNativeTypeQualifier' 在元数据类 'SwPointerTargetProps' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'annotation' 在元数据类 'SwPointerTargetProps' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'baseType' 在元数据类 'SwPointerTargetProps' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'compuMethod' 在元数据类 'SwPointerTargetProps' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'dataConstr' 在元数据类 'SwPointerTargetProps' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'implementationDataType' 在元数据类 'SwPointerTargetProps' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'swAddrMethod' 在元数据类 'SwPointerTargetProps' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'swImplPolicy' 在元数据类 'SwPointerTargetProps' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'swPointerTargetProps' 在元数据类 'SwPointerTargetProps' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'swRefreshTiming' 在元数据类 'SwPointerTargetProps' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'additionalNativeTypeQualifier' 在元数据类 'SwServiceArg' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'annotation' 在元数据类 'SwServiceArg' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'baseType' 在元数据类 'SwServiceArg' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'compuMethod' 在元数据类 'SwServiceArg' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'dataConstr' 在元数据类 'SwServiceArg' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'implementationDataType' 在元数据类 'SwServiceArg' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'swAddrMethod' 在元数据类 'SwServiceArg' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'swImplPolicy' 在元数据类 'SwServiceArg' 的已知属性列表中未找到。 (LLM 违规)""]"
value_restriction,The definition of the reference ImplementationDataType.swDataDefProps.compuMethod is restricted to a CompuMethod of either category BITFIELD_TEXTTABLE or category TEXTTABLE (these might be seen as implementation specific in certain cases).,constr_1158,constr,"['5 Data Description', '5.2 Data Types', '5.2.5 Implementation Data Type']","[{'entityType': 'class', 'targetAttributes': ['swDataDefProps'], 'targetEntityName': 'ImplementationDataType'}, {'entityType': 'class', 'targetAttributes': ['compuMethod'], 'targetEntityName': 'SwDataDefProps'}, {'entityType': 'class', 'targetAttributes': ['category'], 'targetEntityName': 'CompuMethod'}]",Applicable categorys for attribute ImplementationDataType.swDataDefProps.compuMethod,True,[],BITFIELD_TEXTTABLE or TEXTTABLE,,"['CompuMethod.category', 'ImplementationDataType.swDataDefProps', 'SwDataDefProps.compuMethod']",0.9,"[""属性 'category' 在元数据类 'CompuMethod' 的已知属性列表中未找到。 (LLM 违规)""]"
behavioral,"The following set of rules applies for the usage of the attribute ImplementationDataType.typeEmitter:

• If the value of attribute typeEmitter is NOT defined and a nativeDeclaration is provided the RTE generator shall generate the corresponding data type definition7.
• If the value of attribute typeEmitter is set to ""RTE"" and a nativeDeclaration is provided the RTE generator shall generate the corresponding data type definition.
• If the value of the attribute typeEmitter is set to ""RTE"" and no nativeDeclaration is provided the RTE generator shall issue an error message.
• If the value of attribute typeEmitter is set to anything else but ""RTE"" the RTE generator shall silently not generate the corresponding data type definition regardless of the existence of nativeDeclaration attribute.

",TPS_SWCT_01253,TPS_SWCT,"['5 Data Description', '5.2 Data Types', '5.2.5 Implementation Data Type']","[{'entityType': 'class', 'targetAttributes': ['typeEmitter', 'nativeDeclaration'], 'targetEntityName': 'ImplementationDataType'}]",Rules apply for the usage of the attribute ImplementationDataType.typeEmitter,True,['RS_SWCT_03217'],,,"['ImplementationDataType.nativeDeclaration', 'ImplementationDataType.typeEmitter']",0.9,"[""属性 'nativeDeclaration' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)""]"
behavioral,"If an ImplementationDataType is mapped to an ApplicationArrayDataType where the attribute dynamicArraySizeProfile exists, the second ImplementationDataType.subElement shall be an array which can hold the data of the variable size array with all dimensions defined for the ApplicationDataType.

The category shall be set to ARRAY and arraySize shall be set to maxArraySize of the corresponding ApplicationArrayDataType.",TPS_SWCT_01621,TPS_SWCT,"['5 Data Description', '5.2 Data Types']","[{'entityType': 'class', 'targetAttributes': ['subElement'], 'targetEntityName': 'ImplementationDataType'}, {'entityType': 'class', 'targetAttributes': ['dynamicArraySizeProfile', 'maxArraySize'], 'targetEntityName': 'ApplicationArrayDataType'}, {'entityType': 'class', 'targetAttributes': ['category', 'arraySize'], 'targetEntityName': 'ImplementationDataTypeElement'}]",Payload for dynamicArraySizeProfile,True,['RS_SWCT_03181'],,,"['ApplicationArrayDataType.dynamicArraySizeProfile', 'ApplicationArrayDataType.maxArraySize', 'ImplementationDataType.subElement', 'ImplementationDataTypeElement.arraySize', 'ImplementationDataTypeElement.category']",0.9,"[""属性 'maxArraySize' 在元数据类 'ApplicationArrayDataType' 的已知属性列表中未找到。 (LLM 违规)""]"
relationship,"If nativeDeclaration does not exist in the SwBaseType it is required that the shortName (e.g. ""uint8"") of the corresponding ImplementationDataType is equal to a name of one of the Platform or Standard Types predefined in AUTOSAR code.",constr_1010,constr,"['5 Data Description', '5.2 Data Types', '5.2.6 Base Type']","[{'entityType': 'class', 'targetAttributes': ['nativeDeclaration'], 'targetEntityName': 'SwBaseType'}, {'entityType': 'class', 'targetAttributes': ['shortName'], 'targetEntityName': 'ImplementationDataType'}]",If nativeDeclaration does not exist,True,[],,,"['ImplementationDataType.shortName', 'SwBaseType.nativeDeclaration']",0.9,"[""属性 'nativeDeclaration' 在元数据类 'SwBaseType' 的已知属性列表中未找到。 (LLM 违规)""]"
value_restriction,For the attribute SwBaseType.category only the values FIXED_LENGTH and VARIABLE_LENGTH are supported.,constr_1011,constr,"['5 Data Description', '5.2 Data Types', '5.2.6 Base Type', 'Properties of SwBaseType']","[{'entityType': 'class', 'targetAttributes': ['category'], 'targetEntityName': 'SwBaseType'}]",category of SwBaseType,True,[],"FIXED_LENGTH, VARIABLE_LENGTH",,['SwBaseType.category'],0.9,"[""属性 'category' 在元数据类 'SwBaseType' 的已知属性列表中未找到。 (LLM 违规)""]"
