constraint_type,expression,id,id_type,scope_path,targets,title,is_active,references,value,xml_example_content,targetRefs,confidence,review_issues
behavioral,"Please note that it is technically possible to let a single RunnableEntity implement the functionality of two or more ClientServerOperations. For this purpose two or more OperationInvokedEvents need to reference this single RunnableEntity.
In this case, however, it is essential that the queue length associated with each of the ClientServerOperations has the same value. In other words:",TPS_SWCT_01225,TPS_SWCT,"['4 Details: Software Components, Ports, and Interfaces', '4.5 Communication Speciﬁcation']","[{'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'RunnableEntity'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ClientServerOperations'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'OperationInvokedEvent'}]",RunnableEntity implements the functionality of two or more ClientServerOperations,True,[],,,"['ClientServerOperations._classLevel', 'OperationInvokedEvent._classLevel', 'RunnableEntity._classLevel']",0.9,"[""目标类 'ClientServerOperations' 在元数据中未找到。""]"
value_restriction,If two or more OperationInvokedEvents reference a single RunnableEntity the value of the ServerComSpec attribute queueLength shall be identical for all ServerComSpecs owned by PPortPrototypes of the enclosing SwComponentType that reference one of the ClientServerOperations that are also referenced by the OperationInvokedEvents.,constr_1128,constr,"['4 Details: Software Components, Ports, and Interfaces', '4.5 Communication Speciﬁcation']","[{'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'OperationInvokedEvent'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'RunnableEntity'}, {'entityType': 'class', 'targetAttributes': ['queueLength'], 'targetEntityName': 'ServerComSpec'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'PPortPrototype'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ClientServerOperations'}]",Queue length of ClientServerOperations associated with the same RunnableEntity,True,[],,,"['ClientServerOperations._classLevel', 'OperationInvokedEvent._classLevel', 'PPortPrototype._classLevel', 'RunnableEntity._classLevel', 'ServerComSpec.queueLength']",0.9,"[""目标类 'ClientServerOperations' 在元数据中未找到。""]"
value_restriction,The ImplementationDataType referenced by a ModeRequestTypeMap shall either be of category VALUE or of category TYPE_REFERENCE that in turn references an ImplementationDataType of category VALUE. The baseType referenced by the ImplementationDataType shall have set the value of the attribute BaseTypeDirectDefinition.baseTypeEncoding to NONE.,constr_1167,constr,"['4 Details: Software Components, Ports, and Interfaces', '4.2 Port Interface Details']","[{'entityType': 'class', 'targetAttributes': ['category', 'baseType'], 'targetEntityName': 'ImplementationDataType'}, {'entityType': 'class', 'targetAttributes': ['implementationDataType'], 'targetEntityName': 'ModeRequestTypeMap'}, {'entityType': 'class', 'targetAttributes': ['baseTypeEncoding'], 'targetEntityName': 'BaseTypeDirectDefinition'}]",ImplementationDataTypes used as ModeRequestTypeMap.implementationDataType,True,[],,,"['BaseTypeDirectDefinition.baseTypeEncoding', 'ImplementationDataType.baseType', 'ImplementationDataType.category', 'ModeRequestTypeMap.implementationDataType']",0.9,"[""属性 'baseType' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)""]"
existence,"Unless the attribute swImplPolicy is set to queued, it is not required that all elements on the sender side need to be mapped to elements on the receiver side to achieve compatibility.",TPS_SWCT_01551,TPS_SWCT,"['4 Details: Software Components, Ports, and Interfaces', '4.3 PortInterface Mapping and Data Scaling', '4.3.1 PortInterface Mapping', '4.3.1.5 Mapping of Elements of a composite Data Type']","[{'entityType': 'class', 'targetAttributes': ['swImplPolicy'], 'targetEntityName': 'NonqueuedReceiverComSpec'}]",Mapping of elements on the sender side to elements on the receiver side,True,"['RS_SWCT_03210', 'RS_SWCT_03135']",,,['NonqueuedReceiverComSpec.swImplPolicy'],0.9,"[""属性 'swImplPolicy' 在元数据类 'NonqueuedReceiverComSpec' 的已知属性列表中未找到。 (LLM 违规)""]"
value_restriction,If the attribute swImplPolicy is set to queued it is not allowed to have unmapped elements of ApplicationCompositeDataTypes or ImplementationDataTypes of category STRUCTURE or ARRAY on the receiver side.,constr_1279,constr,"['4 Details: Software Components, Ports, and Interfaces', '4.3 PortInterface Mapping and Data Scaling', '4.3.1 PortInterface Mapping', '4.3.1.5 Mapping of Elements of a composite Data Type']","[{'entityType': 'class', 'targetAttributes': ['swImplPolicy'], 'targetEntityName': 'NonqueuedReceiverComSpec'}, {'entityType': 'class', 'targetAttributes': ['category'], 'targetEntityName': 'ApplicationCompositeDataType'}, {'entityType': 'class', 'targetAttributes': ['category'], 'targetEntityName': 'ImplementationDataType'}]",Unmapped elements of ApplicationCompositeDataTypes or ImplementationDataTypes and the attribute swImplPolicy,True,[],,,"['ApplicationCompositeDataType.category', 'ImplementationDataType.category', 'NonqueuedReceiverComSpec.swImplPolicy']",0.9,"[""属性 'swImplPolicy' 在元数据类 'NonqueuedReceiverComSpec' 的已知属性列表中未找到。 (LLM 违规)""]"
existence,If elements of ApplicationCompositeDataTypes or ImplementationDataTypes of category STRUCTURE or ARRAY are not considered in a SubElementMapping then the enclosing dataElement shall have an initValue if the NonqueuedReceiverComSpec is aggregated by an AbstractRequiredPortPrototype.,constr_1280,constr,"['4 Details: Software Components, Ports, and Interfaces', '4.3 PortInterface Mapping and Data Scaling', '4.3.1 PortInterface Mapping', '4.3.1.5 Mapping of Elements of a composite Data Type']","[{'entityType': 'class', 'targetAttributes': ['initValue'], 'targetEntityName': 'AutosarDataPrototype'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'SubElementMapping'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'NonqueuedReceiverComSpec'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'AbstractRequiredPortPrototype'}, {'entityType': 'class', 'targetAttributes': ['category'], 'targetEntityName': 'ApplicationCompositeDataType'}, {'entityType': 'class', 'targetAttributes': ['category'], 'targetEntityName': 'ImplementationDataType'}]",Unmapped dataElement on the receiver side shall have an initValue,True,[],,,"['AbstractRequiredPortPrototype._classLevel', 'ApplicationCompositeDataType.category', 'AutosarDataPrototype.initValue', 'ImplementationDataType.category', 'NonqueuedReceiverComSpec._classLevel', 'SubElementMapping._classLevel']",0.9,"[""属性 'initValue' 在元数据类 'AutosarDataPrototype' 的已知属性列表中未找到。 (LLM 违规)""]"
relationship,The rootDataPrototype referenced by ApplicationCompositeElementInPortInterfaceInstanceRef shall be owned by the applicable subclass of DataInterface referenced in the role base. This implies that the rootDataPrototype shall be a ParameterDataPrototype if the base is a ParameterInterface. Otherwise the rootDataPrototype shall be a VariableDataPrototype.,constr_1184,constr,"['4 Details: Software Components, Ports, and Interfaces', '4.3 PortInterface Mapping and Data Scaling', '4.3.1 PortInterface Mapping', '4.3.1.5 Mapping of Elements of a composite Data Type']","[{'entityType': 'class', 'targetAttributes': ['rootDataPrototype', 'base'], 'targetEntityName': 'ApplicationCompositeElementInPortInterfaceInstanceRef'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'DataInterface'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ParameterDataPrototype'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'VariableDataPrototype'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ParameterInterface'}]",Consistency of rootDataPrototype and base in the context of ApplicationCompositeElementInPortInterfaceInstanceRef,True,[],,,"['ApplicationCompositeElementInPortInterfaceInstanceRef.base', 'ApplicationCompositeElementInPortInterfaceInstanceRef.rootDataPrototype', 'DataInterface._classLevel', 'ParameterDataPrototype._classLevel', 'ParameterInterface._classLevel', 'VariableDataPrototype._classLevel']",0.9,"[""属性 'base' 在元数据类 'ApplicationCompositeElementInPortInterfaceInstanceRef' 的已知属性列表中未找到。 (LLM 违规)""]"
relationship,The definition of attributes contextDataPrototype and targetDataPrototype shall be enclosed in the context of the definition of the data type used to type rootDataPrototype.,constr_1186,constr,"['4 Details: Software Components, Ports, and Interfaces', '4.3 PortInterface Mapping and Data Scaling', '4.3.1 PortInterface Mapping', '4.3.1.5 Mapping of Elements of a composite Data Type']","[{'entityType': 'class', 'targetAttributes': ['contextDataPrototype', 'targetDataPrototype', 'rootDataPrototype'], 'targetEntityName': 'ArVariableInImplementationDataInstanceRef'}]",Consistency of data types in the context of ArVariableInImplementationDataInstanceRef,True,[],,,"['ArVariableInImplementationDataInstanceRef.contextDataPrototype', 'ArVariableInImplementationDataInstanceRef.rootDataPrototype', 'ArVariableInImplementationDataInstanceRef.targetDataPrototype']",0.9,"[""属性 'rootDataPrototype' 在元数据类 'ArVariableInImplementationDataInstanceRef' 的已知属性列表中未找到。 (LLM 违规)""]"
value_restriction,"Data conversion shall be supported for AutosarDataTypes that refer to CompuMethods of category LINEAR, IDENTICAL, SCALE_LINEAR_AND_TEXTTABLE, TEXTTABLE, and BITFIELD_TEXTTABLE.",TPS_SWCT_01560,TPS_SWCT,"['4 Details: Software Components, Ports, and Interfaces', '4.3 PortInterface Mapping and Data Scaling', '4.3.2 Data Conversion']","[{'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'AutosarDataType'}, {'entityType': 'class', 'targetAttributes': ['category'], 'targetEntityName': 'CompuMethod'}]",Supported categorys of CompuMethods for data conversion,True,['RS_SWCT_03210'],"LINEAR, IDENTICAL, SCALE_LINEAR_AND_TEXTTABLE, TEXTTABLE, BITFIELD_TEXTTABLE",,"['AutosarDataType._classLevel', 'CompuMethod.category']",0.9,"[""属性 'category' 在元数据类 'CompuMethod' 的已知属性列表中未找到。 (LLM 违规)""]"
behavioral,In such cases a linear conversion factor can be calculated out of the factorSiToUnit and offsetSiToUnit attributes of the referred Units and the CompuRationalCoeffs of a compuInternalToPhys/compuPhysToInternal of the referred CompuMethods.,TPS_SWCT_01168,TPS_SWCT,"['4 Details: Software Components, Ports, and Interfaces', '4.3 PortInterface Mapping and Data Scaling', '4.3.2 Data Conversion', '4.3.2.1 Linear Data Scaling']","[{'entityType': 'class', 'targetAttributes': ['factorSiToUnit', 'offsetSiToUnit'], 'targetEntityName': 'Unit'}, {'entityType': 'class', 'targetAttributes': ['compuInternalToPhys', 'compuPhysToInternal'], 'targetEntityName': 'CompuMethod'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'CompuRationalCoeff'}]",Linear conversion factor can be calculated,True,['RS_SWCT_03210'],,,"['CompuMethod.compuInternalToPhys', 'CompuMethod.compuPhysToInternal', 'CompuRationalCoeff._classLevel', 'Unit.factorSiToUnit', 'Unit.offsetSiToUnit']",0.9,"[""目标类 'CompuRationalCoeff' 在元数据中未找到。""]"
