timestamp,Method,Group,idx,seed,status,elapsed_s,input_tokens,output_tokens,total_tokens,chars,memory_delta
2025-07-19T01:07:48,vLLM GBNF,full_promote,1,42,success,274.695,223,2686,2909,5884,0.0
2025-07-19T01:07:48,vLLM GBNF,full_promote,1,1001,success,101.36,223,2682,2905,5884,0.0
2025-07-19T01:07:48,vLLM GBNF,full_promote,1,20250701,success,101.085,223,2606,2829,5884,0.26
2025-07-19T01:07:48,vLLM GBNF,full_promote,2,42,success,100.698,278,2613,2891,5884,0.0
2025-07-19T01:07:48,vLLM GBNF,full_promote,2,1001,success,102.476,278,2641,2919,5884,0.0
2025-07-19T01:07:48,vLLM GBNF,full_promote,2,20250701,success,104.217,278,2697,2975,5884,0.0
2025-07-19T01:07:48,vLLM GBNF,full_promote,3,42,success,106.441,258,2708,2966,5884,0.0
2025-07-19T01:07:48,vLLM GBNF,full_promote,3,1001,success,102.156,258,2576,2834,5884,0.0
2025-07-19T01:07:48,vLLM GBNF,full_promote,3,20250701,success,107.718,258,2708,2966,5884,0.0
2025-07-19T01:07:48,vLLM GBNF,full_promote,4,42,success,104.715,223,2566,2789,5884,0.0
2025-07-19T01:07:48,vLLM GBNF,full_promote,4,1001,success,108.533,223,2682,2905,5884,0.0
2025-07-19T01:07:48,vLLM GBNF,full_promote,4,20250701,success,107.021,223,2726,2949,5884,0.0
2025-07-19T01:07:48,vLLM GBNF,full_promote,5,42,success,146.418,253,3148,3401,6839,0.0
2025-07-19T01:07:48,vLLM GBNF,full_promote,5,1001,success,116.752,253,3023,3276,6839,0.0
2025-07-19T01:07:48,vLLM GBNF,full_promote,5,20250701,success,117.402,253,3022,3275,6839,0.0
2025-07-19T01:07:48,vLLM GBNF,full_promote,6,42,success,101.283,228,2570,2798,5884,0.0
2025-07-19T01:07:48,vLLM GBNF,full_promote,6,1001,success,104.016,228,2675,2903,5884,0.0
2025-07-19T01:07:48,vLLM GBNF,full_promote,6,20250701,success,103.201,228,2615,2843,5884,0.0
2025-07-19T01:07:48,vLLM GBNF,full_promote,7,42,success,141.995,274,3022,3296,6776,0.0
2025-07-19T01:07:48,vLLM GBNF,full_promote,7,1001,success,117.55,274,2989,3263,6776,0.0
2025-07-19T01:07:48,vLLM GBNF,full_promote,7,20250701,success,118.578,274,2948,3222,6776,0.0
2025-07-19T01:07:48,vLLM GBNF,mid_promote,8,42,success,81.882,187,1491,1678,3181,0.0
2025-07-19T01:07:48,vLLM GBNF,mid_promote,8,1001,success,58.526,187,1479,1666,3181,0.0
2025-07-19T01:07:48,vLLM GBNF,mid_promote,8,20250701,success,58.073,187,1473,1660,3181,0.0
2025-07-19T01:07:48,vLLM GBNF,mid_promote,9,42,success,61.79,187,1390,1577,3181,0.0
2025-07-19T01:07:48,vLLM GBNF,mid_promote,9,1001,success,59.383,187,1435,1622,3181,0.0
2025-07-19T01:07:48,vLLM GBNF,mid_promote,9,20250701,success,60.671,187,1425,1612,3181,0.0
2025-07-19T01:07:48,vLLM GBNF,mid_promote,10,42,success,60.414,174,1462,1636,3181,0.0
2025-07-19T01:07:48,vLLM GBNF,mid_promote,10,1001,success,60.056,174,1447,1621,3181,0.0
2025-07-19T01:07:48,vLLM GBNF,mid_promote,10,20250701,success,59.129,174,1463,1637,3181,0.0
2025-07-19T01:07:48,vLLM GBNF,mid_promote,11,42,success,57.289,167,1443,1610,3181,0.0
2025-07-19T01:07:48,vLLM GBNF,mid_promote,11,1001,success,59.475,167,1462,1629,3181,0.0
2025-07-19T01:07:48,vLLM GBNF,mid_promote,11,20250701,success,63.749,167,1441,1608,3181,0.0
2025-07-19T01:07:48,vLLM GBNF,mid_promote,12,42,success,60.087,173,1439,1612,3181,0.0
2025-07-19T01:07:48,vLLM GBNF,mid_promote,12,1001,success,59.501,173,1460,1633,3181,0.0
2025-07-19T01:07:48,vLLM GBNF,mid_promote,12,20250701,success,59.023,173,1442,1615,3181,0.0
2025-07-19T01:07:48,vLLM GBNF,mid_promote,13,42,success,57.302,169,1420,1589,3181,0.0
2025-07-19T01:07:48,vLLM GBNF,mid_promote,13,1001,success,58.612,169,1459,1628,3181,0.0
2025-07-19T01:07:48,vLLM GBNF,mid_promote,13,20250701,success,60.68,169,1463,1632,3181,0.0
2025-07-19T01:07:48,vLLM GBNF,mid_promote,14,42,success,61.233,184,1413,1597,3181,0.0
2025-07-19T01:07:48,vLLM GBNF,mid_promote,14,1001,success,61.922,184,1453,1637,3181,0.0
2025-07-19T01:07:48,vLLM GBNF,mid_promote,14,20250701,success,60.632,184,1435,1619,3181,0.0
2025-07-19T01:07:48,vLLM GBNF,min_promote,15,42,success,8.248,155,157,312,330,0.0
2025-07-19T01:07:48,vLLM GBNF,min_promote,15,1001,success,7.476,155,154,309,330,0.0
2025-07-19T01:07:48,vLLM GBNF,min_promote,15,20250701,success,7.821,155,164,319,330,0.0
2025-07-19T01:07:48,vLLM GBNF,min_promote,16,42,success,7.574,149,157,306,330,0.0
2025-07-19T01:07:48,vLLM GBNF,min_promote,16,1001,success,7.935,149,165,314,330,0.0
2025-07-19T01:07:48,vLLM GBNF,min_promote,16,20250701,success,8.042,149,164,313,330,0.0
2025-07-19T01:07:48,vLLM GBNF,min_promote,17,42,success,7.824,157,157,314,330,0.0
2025-07-19T01:07:48,vLLM GBNF,min_promote,17,1001,success,7.395,157,154,311,330,0.0
2025-07-19T01:07:48,vLLM GBNF,min_promote,17,20250701,success,7.753,157,164,321,330,0.0
2025-07-19T01:07:48,vLLM GBNF,min_promote,18,42,success,7.733,157,157,314,330,0.0
2025-07-19T01:07:48,vLLM GBNF,min_promote,18,1001,success,7.939,157,160,317,330,0.0
2025-07-19T01:07:48,vLLM GBNF,min_promote,18,20250701,success,7.98,157,164,321,330,0.0
2025-07-19T01:07:48,vLLM GBNF,min_promote,19,42,success,7.799,149,157,306,330,0.0
2025-07-19T01:07:48,vLLM GBNF,min_promote,19,1001,success,7.928,149,165,314,330,0.0
2025-07-19T01:07:48,vLLM GBNF,min_promote,19,20250701,success,8.028,149,164,313,330,0.0
2025-07-19T01:07:48,vLLM GBNF,min_promote,20,42,success,7.914,157,157,314,330,0.0
2025-07-19T01:07:48,vLLM GBNF,min_promote,20,1001,success,7.47,157,154,311,330,0.0
2025-07-19T01:07:48,vLLM GBNF,min_promote,20,20250701,success,8.18,157,164,321,330,0.0
